tag	layer	target	N	C	H	W	bit
0	0	0	20	0	0	2	4
1	0	0	7	0	0	2	1
2	0	0	21	2	2	0	6
3	0	0	1	0	0	0	3
4	0	0	16	2	0	2	3
5	0	0	22	2	2	2	6
6	0	0	7	1	2	1	0
7	0	0	5	2	1	1	4
8	0	0	4	0	1	0	1
9	0	0	12	0	1	1	4
10	0	0	1	2	1	2	1
11	0	0	12	0	2	1	5
12	0	0	18	0	2	0	0
13	0	0	21	0	1	0	3
14	0	0	3	1	1	1	5
15	0	0	5	1	1	0	4
16	0	0	22	2	2	0	2
17	0	0	17	2	0	0	7
18	0	0	12	1	2	2	3
19	0	0	21	1	0	0	0
20	0	0	10	1	1	0	3
21	0	0	18	2	1	0	7
22	0	0	12	2	1	0	4
23	0	0	4	0	2	2	4
24	0	0	23	2	1	2	6
25	0	0	11	0	0	2	7
26	0	0	2	0	0	0	2
27	0	0	21	1	2	0	6
28	0	0	12	2	1	2	4
29	0	0	17	0	2	2	1
30	0	0	21	2	1	2	5
31	0	0	3	1	1	0	7
32	0	0	0	2	2	1	2
33	0	0	16	0	2	1	3
34	0	0	4	1	0	2	0
35	0	0	19	1	1	0	1
36	0	0	11	1	0	0	3
37	0	0	18	0	0	2	7
38	0	0	2	2	0	0	7
39	0	0	17	0	1	2	6
40	0	0	6	2	2	2	3
41	0	0	22	1	1	2	5
42	0	0	14	2	1	0	3
43	0	0	7	0	1	0	3
44	0	0	18	0	0	0	0
45	0	0	7	0	0	1	1
46	0	0	16	0	1	2	7
47	0	0	6	2	0	2	7
48	0	0	7	1	1	0	1
49	0	0	3	2	1	1	6
50	0	0	13	1	2	0	1
51	0	0	1	1	2	1	1
52	0	0	7	0	0	2	7
53	0	0	4	1	0	1	7
54	0	0	7	0	1	2	1
55	0	0	1	2	2	0	1
56	0	0	7	0	1	1	7
57	0	0	6	1	0	0	6
58	0	0	0	1	1	1	4
59	0	0	13	2	2	2	7
60	0	0	4	0	1	0	0
61	0	0	18	2	2	0	5
62	0	0	1	0	2	1	2
63	0	0	1	2	0	0	1
64	0	0	19	0	2	0	6
65	0	0	3	2	0	2	0
66	0	0	19	0	1	2	5
67	0	0	8	0	2	2	5
68	0	0	7	1	1	0	4
69	0	0	14	1	0	0	7
70	0	0	19	2	0	0	3
71	0	0	16	1	0	1	1
72	0	0	7	1	1	0	7
73	0	0	17	2	1	2	0
74	0	0	21	2	1	2	1
75	0	0	4	1	0	0	2
76	0	0	8	1	2	0	5
77	0	0	6	2	2	1	7
78	0	0	8	0	0	2	6
79	0	0	8	0	0	1	2
80	0	0	20	1	0	2	7
81	0	0	17	2	1	2	0
82	0	0	3	0	2	0	0
83	0	0	11	2	2	0	6
84	0	0	4	0	1	1	0
85	0	0	11	0	2	0	1
86	0	0	11	2	1	2	2
87	0	0	7	0	0	1	0
88	0	0	5	2	1	1	3
89	0	0	8	0	2	0	6
90	0	0	1	1	0	0	7
91	0	0	11	1	0	0	0
92	0	0	21	0	1	1	4
93	0	0	2	1	1	2	6
94	0	0	21	2	1	0	1
95	0	0	8	0	2	1	0
96	0	0	3	2	1	1	5
97	0	0	13	2	2	0	6
98	0	0	18	0	1	0	6
99	0	0	0	2	2	2	3
100	0	0	11	1	0	2	5
101	0	0	19	1	2	0	4
102	0	0	16	1	2	1	5
103	0	0	12	2	1	2	2
104	0	0	6	1	2	1	2
105	0	0	19	2	1	1	0
106	0	0	9	1	0	1	5
107	0	0	14	1	1	2	3
108	0	0	16	1	2	0	1
109	0	0	9	2	2	2	5
110	0	0	2	0	2	1	3
111	0	0	6	0	0	0	3
112	0	0	15	2	0	1	6
113	0	0	20	2	0	2	6
114	0	0	15	1	0	0	0
